
lorem; 1 | 5 | 
ipsum; 1 | 3 | 
dolor; 1 | 
sit; 1 | 3 | 5 | 
amet; 1 | 3 | 5 | 
consectetur; 1 | 
adipiscing; 1 | 
elit; 1 | 2 | 
etiam; 1 | 2 | 3 | 5 | 
lacinia; 1 | 4 | 
condimentum; 1 | 2 | 4 | 5 | 
ex; 1 | 2 | 5 | 
auctor; 1 | 3 | 5 | 
mauris; 1 | 2 | 4 | 5 | 
dictum; 1 | 2 | 
eget; 1 | 2 | 3 | 4 | 
fusce; 1 | 3 | 
at; 1 | 2 | 5 | 
sapien; 1 | 3 | 4 | 5 | 
rhoncus; 1 | 
fringilla; 1 | 
vitae; 1 | 2 | 5 | 
aliquam; 1 | 3 | 4 | 5 | 
ante; 1 | 3 | 4 | 
sed; 1 | 2 | 3 | 4 | 5 | 
id; 1 | 2 | 4 | 5 | 
diam; 1 | 2 | 3 | 4 | 5 | 
dignissim; 1 | 5 | 
vulputate; 1 | 2 | 4 | 5 | 
proin; 1 | 2 | 3 | 5 | 
ultricies; 1 | 3 | 
ut; 1 | 2 | 3 | 4 | 5 | 
volutpat; 1 | 3 | 4 | 5 | 
turpis; 1 | 2 | 4 | 
augue; 1 | 2 | 3 | 4 | 5 | 
blandit; 1 | 4 | 5 | 
nulla; 1 | 2 | 3 | 5 | 
a; 1 | 3 | 4 | 5 | 
facilisis; 1 | 3 | 5 | 
ligula; 1 | 2 | 
maecenas; 1 | 2 | 5 | 
semper; 1 | 
praesent; 1 | 3 | 5 | 
vel; 1 | 2 | 3 | 4 | 5 | 
magna; 1 | 2 | 5 | 
nunc; 1 | 2 | 3 | 4 | 5 | 
pellentesque; 1 | 2 | 4 | 5 | 
erat; 1 | 5 | 
in; 1 | 3 | 4 | 5 | 
ornare; 1 | 
varius; 1 | 5 | 
viverra; 1 | 2 | 4 | 
bibendum; 1 | 2 | 4 | 5 | 
quis; 1 | 2 | 3 | 4 | 5 | 
tristique; 1 | 2 | 3 | 5 | 
suspendisse; 1 | 4 | 
faucibus; 1 | 3 | 4 | 
pharetra; 1 | 3 | 
tellus; 1 | 3 | 
libero; 1 | 3 | 
consequat; 1 | 
eu; 1 | 3 | 4 | 5 | 
eros; 1 | 3 | 5 | 
curabitur; 1 | 4 | 5 | 
efficitur; 1 | 4 | 5 | 
nibh; 1 | 
tempor; 1 | 3 | 
hendrerit; 1 | 3 | 
dui; 1 | 2 | 3 | 4 | 5 | 
pulvinar; 1 | 
risus; 1 | 
et; 1 | 3 | 4 | 5 | 
gravida; 1 | 5 | 
velit; 1 | 2 | 4 | 5 | 
purus; 1 | 2 | 3 | 4 | 5 | 
massa; 1 | 2 | 3 | 4 | 
integer; 1 | 3 | 
elementum; 1 | 4 | 
urna; 1 | 2 | 4 | 5 | 
convallis; 1 | 3 | 
nec; 1 | 4 | 5 | 
commodo; 1 | 2 | 4 | 5 | 
aenean; 1 | 
molestie; 1 | 3 | 
eleifend; 1 | 3 | 4 | 
tortor; 1 | 3 | 4 | 
est; 1 | 3 | 5 | 
iaculis; 1 | 2 | 5 | 
suscipit; 1 | 2 | 3 | 
ac; 1 | 3 | 4 | 5 | 
ullamcorper; 1 | 2 | 4 | 

; 1 | 2 | 3 | 4 | 
pretium; 2 | 3 | 
leo; 2 | 4 | 5 | 
congue; 2 | 3 | 5 | 
finibus; 2 | 
felis; 2 | 5 | 
odio; 2 | 4 | 5 | 
non; 2 | 3 | 4 | 5 | 
duis; 2 | 3 | 4 | 
fermentum; 2 | 3 | 
vestibulum; 2 | 4 | 5 | 
neque; 2 | 3 | 5 | 
tincidunt; 2 | 3 | 4 | 
vivamus; 2 | 3 | 4 | 5 | 
nisl; 2 | 
metus; 2 | 3 | 
vehicula; 2 | 3 | 
porta; 2 | 3 | 5 | 
lacus; 2 | 3 | 5 | 
dapibus; 3 | 4 | 
tempus; 3 | 4 | 5 | 
venenatis; 3 | 4 | 
arcu; 3 | 4 | 
cras; 3 | 5 | 
lobortis; 3 | 4 | 
accumsan; 3 | 
sem; 3 | 
interdum; 3 | 4 | 
malesuada; 3 | 4 | 
fames; 3 | 
primis; 3 | 
placerat; 3 | 4 | 
donec; 3 | 4 | 
quam; 3 | 4 | 
quisque; 4 | 
mattis; 4 | 
lectus; 4 | 
nisi; 4 | 
nam; 4 | 
imperdiet; 4 | 
sodales; 4 | 5 | 
mi; 4 | 5 | 
feugiat; 4 | 5 | 
aliquet; 4 | 
cursus; 4 | 5 | 
ultrices; 4 | 5 | 
mollis; 4 | 
justo; 5 | 
phasellus; 5 | 
laoreet; 5 | 
maximus; 5 | 
egestas; 5 | 
euismod; 5 | 
enim; 5 | 
posuere; 5 | 
