
lorem; 1 | 5 | 
ipsum; 1 | 3 | 4 | 
dolor; 1 | 3 | 4 | 5 | 
sit; 1 | 2 | 4 | 5 | 
amet; 1 | 2 | 4 | 5 | 
consectetur; 1 | 4 | 
adipiscing; 1 | 
elit; 1 | 
donec; 1 | 4 | 
eleifend; 1 | 2 | 
sollicitudin; 1 | 4 | 
nisl; 1 | 4 | 
non; 1 | 3 | 5 | 
tincidunt; 1 | 2 | 4 | 5 | 
vivamus; 1 | 3 | 5 | 
luctus; 1 | 
dui; 1 | 2 | 
ac; 1 | 2 | 3 | 4 | 
mi; 1 | 2 | 
ullamcorper; 1 | 4 | 
rhoncus; 1 | 2 | 
cursus; 1 | 2 | 
posuere; 1 | 
nam; 1 | 2 | 
ex; 1 | 3 | 5 | 
libero; 1 | 2 | 
euismod; 1 | 4 | 5 | 
id; 1 | 2 | 3 | 5 | 
erat; 1 | 4 | 
eu; 1 | 2 | 4 | 5 | 
lobortis; 1 | 2 | 
etiam; 1 | 4 | 
purus; 1 | 3 | 4 | 5 | 
mollis; 1 | 2 | 3 | 4 | 
sed; 1 | 2 | 4 | 5 | 
tortor; 1 | 2 | 4 | 5 | 
sodales; 1 | 3 | 5 | 
efficitur; 1 | 3 | 
nunc; 1 | 2 | 3 | 4 | 5 | 
integer; 1 | 
accumsan; 1 | 
ligula; 1 | 2 | 3 | 
at; 1 | 2 | 3 | 4 | 5 | 
varius; 1 | 5 | 
ut; 1 | 2 | 3 | 4 | 5 | 
eros; 1 | 2 | 4 | 5 | 
elementum; 1 | 2 | 3 | 5 | 
vestibulum; 1 | 
felis; 1 | 5 | 
quis; 1 | 2 | 3 | 4 | 5 | 
volutpat; 1 | 3 | 4 | 5 | 
venenatis; 1 | 
est; 1 | 2 | 
quam; 1 | 2 | 5 | 
ultricies; 1 | 
convallis; 1 | 
eget; 1 | 2 | 4 | 
maximus; 1 | 2 | 5 | 
fermentum; 1 | 3 | 
aliquam; 1 | 2 | 4 | 5 | 
porta; 1 | 
arcu; 1 | 2 | 4 | 
rutrum; 1 | 4 | 
laoreet; 1 | 2 | 

; 1 | 2 | 3 | 4 | 
nullam; 2 | 
a; 2 | 3 | 5 | 
turpis; 2 | 
sagittis; 2 | 4 | 5 | 
fringilla; 2 | 
justo; 2 | 
tristique; 2 | 4 | 
et; 2 | 3 | 5 | 
interdum; 2 | 
lacus; 2 | 
dignissim; 2 | 4 | 
lectus; 2 | 4 | 
fusce; 2 | 
tempor; 2 | 
pretium; 2 | 
nec; 2 | 4 | 5 | 
urna; 2 | 5 | 
pellentesque; 2 | 5 | 
massa; 2 | 
pulvinar; 2 | 
aenean; 2 | 5 | 
lacinia; 2 | 4 | 5 | 
risus; 2 | 4 | 
neque; 2 | 
condimentum; 2 | 5 | 
sem; 2 | 5 | 
dictum; 2 | 4 | 
morbi; 2 | 
leo; 2 | 4 | 
mauris; 2 | 3 | 4 | 5 | 
enim; 2 | 5 | 
tellus; 2 | 4 | 
molestie; 2 | 
ultrices; 2 | 3 | 4 | 5 | 
vitae; 2 | 3 | 4 | 
pharetra; 2 | 5 | 
phasellus; 2 | 5 | 
vel; 2 | 3 | 4 | 
magna; 2 | 5 | 
velit; 2 | 
congue; 2 | 
metus; 3 | 5 | 
finibus; 3 | 
proin; 3 | 
egestas; 3 | 
quisque; 3 | 
ante; 3 | 
bibendum; 3 | 
semper; 3 | 5 | 
cras; 3 | 
gravida; 3 | 
iaculis; 3 | 
aliquet; 3 | 5 | 
orci; 3 | 4 | 
duis; 3 | 4 | 
faucibus; 3 | 
placerat; 3 | 5 | 
augue; 4 | 
in; 4 | 
scelerisque; 4 | 5 | 
feugiat; 4 | 5 | 
nisi; 4 | 5 | 
consequat; 5 | 
hendrerit; 5 | 
praesent; 5 | 
nulla; 5 | 
diam; 5 | 
